"id";"prefix";"vendor"
105848;"00143D";Aevoe Inc.
105849;"00143E";AirLink Communications, Inc.
105850;"00143F";Hotway Technology Corporation
105851;"001440";ATOMIC Corporation
105852;"001441";Innovation Sound Technology Co., LTD.
105853;"001442";ATTO CORPORATION
105854;"001443";Consultronics Europe Ltd
105855;"001444";Grundfos Holding
105856;"001445";Telefon-Gradnja d.o.o.
105857;"001446";SuperVision Solutions LLC
105858;"001447";BOAZ Inc.
105859;"001448";Inventec Multimedia & Telecom Corporation
105860;"001449";Sichuan Changhong Electric Ltd.
105861;"00144A";Taiwan Thick-Film Ind. Corp.
105862;"00144B";Hifn, Inc.
105863;"00144C";General Meters Corp.
105864;"00144D";Intelligent Systems
105865;"00144E";SRISA
105866;"00144F";Oracle Corporation
105867;"001450";Heim Systems GmbH
105868;"001451";Apple, Inc.
105869;"001452";CALCULEX,INC.
105870;"001453";ADVANTECH TECHNOLOGIES CO.,LTD
105871;"001454";Symwave
105872;"001455";Coder Electronics Corporation
105873;"001456";Edge Products
105874;"001457";T-VIPS AS
105875;"001458";HS Automatic ApS
105876;"001459";Moram Co., Ltd.
105877;"00145A";Neratec Solutions AG
105878;"00145B";SeekerNet Inc.
105879;"00145C";Intronics B.V.
105880;"00145D";WJ Communications, Inc.
105881;"00145E";IBM Corp
105882;"00145F";ADITEC CO. LTD
105883;"001460";Kyocera Wireless Corp.
105884;"001461";CORONA CORPORATION
105885;"001462";Digiwell Technology, inc
105886;"001463";IDCS N.V.
105887;"001464";Cryptosoft
105888;"001465";Novo Nordisk A/S
105889;"001466";Kleinhenz Elektronik GmbH
105890;"001467";ArrowSpan Inc.
105891;"001468";CelPlan International, Inc.
105892;"001469";Cisco Systems, Inc
105893;"00146A";Cisco Systems, Inc
105894;"00146B";Anagran, Inc.
105895;"00146C";NETGEAR
105896;"00146D";RF Technologies
105897;"00146E";H. Stoll GmbH & Co. KG
105898;"00146F";Kohler Co
105899;"001470";Prokom Software SA
105900;"001471";Eastern Asia Technology Limited
105901;"001472";China Broadband Wireless IP Standard group(ChinaBWIPS)
105902;"001473";Bookham Inc
105903;"001474";K40 Electronics
105904;"001475";Wiline Networks, Inc.
105905;"001476";MultiCom Industries Limited
105906;"001477";Trilliant
105907;"001478";TP-LINK TECHNOLOGIES CO.,LTD.
105908;"001479";NEC Magnus Communications,Ltd.
105909;"00147A";Eubus GmbH
105910;"00147B";Iteris, Inc.
105911;"00147C";"3Com Ltd"
105912;"00147D";Aeon Digital International
105913;"00147E";InnerWireless
105914;"00147F";Thomson Telecom Belgium
105915;"001480";Hitachi-LG Data Storage Korea, Inc
105916;"001481";Multilink Inc
105917;"001482";Aurora Networks
105918;"001483";eXS Inc.
105919;"001484";Cermate Technologies Inc.
105920;"001485";Giga-Byte
105921;"001486";Echo Digital Audio Corporation
105922;"001487";American Technology Integrators
105923;"001488";Akorri
105924;"001489";B15402100 - JANDEI, S.L.
105925;"00148A";Elin Ebg Traction Gmbh
105926;"00148B";Globo Electronic GmbH & Co. KG
105927;"00148C";General Dynamics Mission Systems
105928;"00148D";Cubic Defense Simulation Systems
105929;"00148E";Tele Power Inc.
105930;"00148F";Protronic (Far East) Ltd.
105931;"001490";ASP Corporation
105932;"001491";Daniels Electronics Ltd. dbo Codan Rado Communications
105933;"001492";Liteon, Mobile Media Solution SBU
105934;"001493";Systimax Solutions
105935;"001494";ESU AG
105936;"001495";"2Wire Inc"
105937;"001496";Phonic Corp.
105938;"001497";ZHIYUAN Eletronics co.,ltd.
105939;"001498";Viking Design Technology
105940;"001499";Helicomm Inc
105941;"00149A";ARRIS Group, Inc.
105942;"00149B";Nokota Communications, LLC
105943;"00149C";HF Company
105944;"00149D";Sound ID Inc.
105945;"00149E";UbONE Co., Ltd
105946;"00149F";System and Chips, Inc.
105947;"0014A0";Accsense, Inc.
105948;"0014A1";Synchronous Communication Corp
105949;"0014A2";Core Micro Systems Inc.
105950;"0014A3";Vitelec BV
105951;"0014A4";Hon Hai Precision Ind. Co.,Ltd.
105952;"0014A5";Gemtek Technology Co., Ltd.
105953;"0014A6";Teranetics, Inc.
105954;"0014A7";Nokia Danmark A/S
105955;"0014A8";Cisco Systems, Inc
105956;"0014A9";Cisco Systems, Inc
105957;"0014AA";Ashly Audio, Inc.
105958;"0014AB";Senhai Electronic Technology Co., Ltd.
105959;"0014AC";Bountiful WiFi
105960;"0014AD";Gassner Wiege- und Meßtechnik GmbH
105961;"0014AE";Wizlogics Co., Ltd.
105962;"0014AF";Datasym POS Inc.
105963;"0014B0";Naeil Community
105964;"0014B1";Axell Wireless Limited
105965;"0014B2";mCubelogics Corporation
105966;"0014B3";CoreStar International Corp
105967;"0014B4";General Dynamics United Kingdom Ltd
105968;"0014B5";PHYSIOMETRIX,INC
105969;"0014B6";Enswer Technology Inc.
105970;"0014B7";AR Infotek Inc.
105971;"0014B8";Hill-Rom
105972;"0014B9";MSTAR SEMICONDUCTOR
105973;"0014BA";Carvers SA de CV
105974;"0014BB";Open Interface North America
105975;"0014BC";SYNECTIC TELECOM EXPORTS PVT. LTD.
105976;"0014BD";incNETWORKS, Inc
105977;"0014BE";Wink communication technology CO.LTD
105978;"0014BF";Cisco-Linksys, LLC
105979;"0014C0";Symstream Technology Group Ltd
105980;"0014C1";U.S. Robotics Corporation
105981;"0014C2";Hewlett Packard
105982;"0014C3";Seagate Technology
105983;"0014C4";Vitelcom Mobile Technology
105984;"0014C5";Alive Technologies Pty Ltd
105985;"0014C6";Quixant Ltd
105986;"0014C7";Nortel Networks
105987;"0014C8";Contemporary Research Corp
105988;"0014C9";Brocade Communications Systems LLC
105989;"0014CA";Key Radio Systems Limited
105990;"0014CB";LifeSync Corporation
105991;"0014CC";Zetec, Inc.
105992;"0014CD";DigitalZone Co., Ltd.
105993;"0014CE";NF CORPORATION
105994;"0014CF";INVISIO Communications
105995;"0014D0";BTI Systems Inc.
105996;"0014D1";TRENDnet, Inc.
105997;"0014D2";Kyuden Technosystems Corporation
105998;"0014D3";SEPSA
105999;"0014D4";K Technology Corporation
106000;"0014D5";Datang Telecom Technology CO. , LCD,Optical Communication Br
106001;"0014D6";Jeongmin Electronics Co.,Ltd.
106002;"0014D7";Datastore Technology Corp
106003;"0014D8";bio-logic SA
106004;"0014D9";IP Fabrics, Inc.
106005;"0014DA";Huntleigh Healthcare
106006;"0014DB";Elma Trenew Electronic GmbH
106007;"0014DC";Communication System Design & Manufacturing (CSDM)
106008;"0014DD";Covergence Inc.
106009;"0014DE";Sage Instruments Inc.
106010;"0014DF";HI-P Tech Corporation
106011;"0014E0";LET'S Corporation
106012;"0014E1";Data Display AG
106013;"0014E2";datacom systems inc.
106014;"0014E3";mm-lab GmbH
106015;"0014E4";infinias, LLC
106016;"0014E5";Alticast
106017;"0014E6";AIM Infrarotmodule GmbH
106018;"0014E7";Stolinx,. Inc
106019;"0014E8";ARRIS Group, Inc.
106020;"0014E9";Nortech International
106021;"0014EA";S Digm Inc. (Safe Paradigm Inc.)
106022;"0014EB";AwarePoint Corporation
106023;"0014EC";Acro Telecom
106024;"0014ED";Airak, Inc.
106025;"0014EE";Western Digital Technologies, Inc.
106026;"0014EF";TZero Technologies, Inc.
106027;"0014F0";Business Security OL AB
106028;"0014F1";Cisco Systems, Inc
106029;"0014F2";Cisco Systems, Inc
106030;"0014F3";ViXS Systems Inc
106031;"0014F4";DekTec Digital Video B.V.
106032;"0014F5";OSI Security Devices
106033;"0014F6";Juniper Networks
106034;"0014F7";CREVIS Co., LTD
106035;"0014F8";Scientific Atlanta
106036;"0014F9";Vantage Controls
106037;"0014FA";AsGa S.A.
106038;"0014FB";Technical Solutions Inc.
106039;"0014FC";Extandon, Inc.
106040;"0014FD";Thecus Technology Corp.
106041;"0014FE";Artech Electronics
106042;"0014FF";Precise Automation, Inc.
106043;"001500";Intel Corporate
106044;"001501";LexBox
106045;"001502";BETA tech
106046;"001503";PROFIcomms s.r.o.
106047;"001504";GAME PLUS CO., LTD.
106048;"001505";Actiontec Electronics, Inc
106049;"001506";Neo Photonics
106050;"001507";Renaissance Learning Inc
106051;"001508";Global Target Enterprise Inc
106052;"001509";Plus Technology Co., Ltd
106053;"00150A";Sonoa Systems, Inc
106054;"00150B";SAGE INFOTECH LTD.
106055;"00150C";AVM GmbH
106056;"00150D";Hoana Medical, Inc.
106057;"00150E";OPENBRAIN TECHNOLOGIES CO., LTD.
106058;"00150F";mingjong
106059;"001510";Techsphere Co., Ltd
106060;"001511";Data Center Systems
106061;"001512";Zurich University of Applied Sciences
106062;"001513";EFS sas
106063;"001514";Hu Zhou NAVA Networks&Electronics Ltd.
106064;"001515";Leipold+Co.GmbH
106065;"001516";URIEL SYSTEMS INC.
106066;"001517";Intel Corporate
106067;"001518";Shenzhen 10MOONS Technology Development CO.,Ltd
106068;"001519";StoreAge Networking Technologies
106069;"00151A";Hunter Engineering Company
106070;"00151B";Isilon Systems Inc.
106071;"00151C";LENECO
106072;"00151D";M2I CORPORATION
106073;"00151E";ETHERNET Powerlink Standarization Group (EPSG)
106074;"00151F";Multivision Intelligent Surveillance (Hong Kong) Ltd
106075;"001520";Radiocrafts AS
106076;"001521";Horoquartz
106077;"001522";Dea Security
106078;"001523";Meteor Communications Corporation
106079;"001524";Numatics, Inc.
106080;"001525";Chamberlain Access Solutions
106081;"001526";Remote Technologies Inc
106082;"001527";Balboa Instruments
106083;"001528";Beacon Medical Products LLC d.b.a. BeaconMedaes
106084;"001529";N3 Corporation
106085;"00152A";Nokia Corporation
106086;"00152B";Cisco Systems, Inc
106087;"00152C";Cisco Systems, Inc
106088;"00152D";TenX Networks, LLC
106089;"00152E";PacketHop, Inc.
106090;"00152F";ARRIS Group, Inc.
106091;"001530";Dell EMC
106092;"001531";KOCOM
106093;"001532";Consumer Technologies Group, LLC
106094;"001533";NADAM.CO.,LTD
106095;"001534";A Beltrónica-Companhia de Comunicações, Lda
106096;"001535";OTE Spa
106097;"001536";Powertech co.,Ltd
106098;"001537";Ventus Networks
106099;"001538";RFID, Inc.
106100;"001539";Technodrive srl
106101;"00153A";Shenzhen Syscan Technology Co.,Ltd.
106102;"00153B";EMH metering GmbH & Co. KG
106103;"00153C";Kprotech Co., Ltd.
106104;"00153D";ELIM PRODUCT CO.
106105;"00153E";Q-Matic Sweden AB
106106;"00153F";Alcatel Alenia Space Italia
106107;"001540";Nortel Networks
106108;"001541";StrataLight Communications, Inc.
106109;"001542";MICROHARD S.R.L.
106110;"001543";Aberdeen Test Center
106111;"001544";coM.s.a.t. AG
106112;"001545";SEECODE Co., Ltd.
106113;"001546";ITG Worldwide Sdn Bhd
106114;"001547";AiZen Solutions Inc.
106115;"001548";CUBE TECHNOLOGIES
106116;"001549";Dixtal Biomedica Ind. Com. Ltda
106117;"00154A";WANSHIH ELECTRONIC CO., LTD
106118;"00154B";Wonde Proud Technology Co., Ltd
106119;"00154C";Saunders Electronics
106120;"00154D";Netronome Systems, Inc.
106121;"00154E";IEC
106122;"00154F";one RF Technology
106123;"001550";Nits Technology Inc
106124;"001551";RadioPulse Inc.
106125;"001552";Wi-Gear Inc.
106126;"001553";Cytyc Corporation
106127;"001554";Atalum Wireless S.A.
106128;"001555";DFM GmbH
106129;"001556";Sagemcom Broadband SAS
106130;"001557";Olivetti
106131;"001558";FOXCONN
106132;"001559";Securaplane Technologies, Inc.
106133;"00155A";DAINIPPON PHARMACEUTICAL CO., LTD.
106134;"00155B";Sampo Corporation
106135;"00155C";Dresser Wayne
106136;"00155D";Microsoft Corporation
106137;"00155E";Morgan Stanley
106138;"00155F";GreenPeak Technologies
106139;"001560";Hewlett Packard
106140;"001561";JJPlus Corporation
106141;"001562";Cisco Systems, Inc
106142;"001563";Cisco Systems, Inc
106143;"001564";BEHRINGER Spezielle Studiotechnik GmbH
106144;"001565";XIAMEN YEALINK NETWORK TECHNOLOGY CO.,LTD
106145;"001566";A-First Technology Co., Ltd.
106146;"001567";RADWIN Inc.
106147;"001568";Dilithium Networks
106148;"001569";PECO II, Inc.
106149;"00156A";DG2L Technologies Pvt. Ltd.
106150;"00156B";Perfisans Networks Corp.
106151;"00156C";SANE SYSTEM CO., LTD
106152;"00156D";Ubiquiti Networks Inc.
106153;"00156E";A. W. Communication Systems Ltd
106154;"00156F";Xiranet Communications GmbH
106155;"001570";Zebra Technologies Inc
106156;"001571";Nolan Systems
106157;"001572";Red-Lemon
106158;"001573";NewSoft  Technology Corporation
106159;"001574";Horizon Semiconductors Ltd.
106160;"001575";Nevis Networks Inc.
106161;"001576";LABiTec - Labor Biomedical Technologies GmbH
106162;"001577";Allied Telesis, Inc.
106163;"001578";Audio / Video Innovations
106164;"001579";Lunatone Industrielle Elektronik GmbH
106165;"00157A";Telefin S.p.A.
106166;"00157B";Leuze electronic GmbH + Co. KG
106167;"00157C";Dave Networks, Inc.
106168;"00157D";POSDATA
106169;"00157E";Weidmüller Interface GmbH & Co. KG
106170;"00157F";ChuanG International Holding CO.,LTD.
106171;"001580";U-WAY CORPORATION
106172;"001581";MAKUS Inc.
106173;"001582";Pulse Eight Limited
106174;"001583";IVT corporation
106175;"001584";Schenck Process GmbH
106176;"001585";Aonvision Technolopy Corp.
106177;"001586";Xiamen Overseas Chinese Electronic Co., Ltd.
106178;"001587";Takenaka Seisakusho Co.,Ltd
106179;"001588";Salutica Allied Solutions Sdn Bhd
106180;"001589";D-MAX Technology Co.,Ltd
106181;"00158A";SURECOM Technology Corp.
106182;"00158B";Park Air Systems Ltd
106183;"00158C";Liab ApS
106184;"00158D";Jennic Ltd
106185;"00158E";Plustek.INC
106186;"00158F";NTT Advanced Technology Corporation
106187;"001590";Hectronic GmbH
106188;"001591";RLW Inc.
106189;"001592";Facom UK Ltd (Melksham)
106190;"001593";U4EA Technologies Inc.
106191;"001594";BIXOLON CO.,LTD
106192;"001595";Quester Tangent Corporation
106193;"001596";ARRIS Group, Inc.
106194;"001597";AETA AUDIO SYSTEMS
106195;"001598";Kolektor group
106196;"001599";Samsung Electronics Co.,Ltd
106197;"00159A";ARRIS Group, Inc.
106198;"00159B";Nortel Networks
106199;"00159C";B-KYUNG SYSTEM Co.,Ltd.
106200;"00159D";Tripp Lite
106201;"00159E";Mad Catz Interactive Inc
106202;"00159F";Terascala, Inc.
106203;"0015A0";Nokia Danmark A/S
106204;"0015A1";ECA-SINTERS
106205;"0015A2";ARRIS Group, Inc.
106206;"0015A3";ARRIS Group, Inc.
106207;"0015A4";ARRIS Group, Inc.
106208;"0015A5";DCI Co., Ltd.
106209;"0015A6";Digital Electronics Products Ltd.
106210;"0015A7";Robatech AG
106211;"0015A8";ARRIS Group, Inc.
106212;"0015A9";KWANG WOO I&C CO.,LTD
106213;"0015AA";Rextechnik International Co.,
106214;"0015AB";PRO CO SOUND INC
106215;"0015AC";Capelon AB
106216;"0015AD";Accedian Networks
106217;"0015AE";kyung il
106218;"0015AF";AzureWave Technology Inc.
106219;"0015B0";AUTOTELENET CO.,LTD
106220;"0015B1";Ambient Corporation
106221;"0015B2";Advanced Industrial Computer, Inc.
106222;"0015B3";Caretech AB
106223;"0015B4";Polymap  Wireless LLC
106224;"0015B5";CI Network Corp.
106225;"0015B6";ShinMaywa Industries, Ltd.
106226;"0015B7";Toshiba
106227;"0015B8";Tahoe
106228;"0015B9";Samsung Electronics Co.,Ltd
106229;"0015BA";iba AG
106230;"0015BB";SMA Solar Technology AG
106231;"0015BC";Develco
106232;"0015BD";Group 4 Technology Ltd
106233;"0015BE";Iqua Ltd.
106234;"0015BF";technicob
106235;"0015C0";DIGITAL TELEMEDIA CO.,LTD.
106236;"0015C1";Sony Interactive Entertainment Inc.
106237;"0015C2";"3M Germany"
106238;"0015C3";Ruf Telematik AG
106239;"0015C4";FLOVEL CO., LTD.
106240;"0015C5";Dell Inc.
106241;"0015C6";Cisco Systems, Inc
106242;"0015C7";Cisco Systems, Inc
106243;"0015C8";FlexiPanel Ltd
106244;"0015C9";Gumstix, Inc
106245;"0015CA";TeraRecon, Inc.
106246;"0015CB";Surf Communication Solutions Ltd.
106247;"0015CC";UQUEST, LTD.
106248;"0015CD";Exartech International Corp.
106249;"0015CE";ARRIS Group, Inc.
106250;"0015CF";ARRIS Group, Inc.
106251;"0015D0";ARRIS Group, Inc.
106252;"0015D1";ARRIS Group, Inc.
106253;"0015D2";Xantech Corporation
106254;"0015D3";Pantech&Curitel Communications, Inc.
106255;"0015D4";Emitor AB
106256;"0015D5";NICEVT
106257;"0015D6";OSLiNK Sp. z o.o.
106258;"0015D7";Reti Corporation
106259;"0015D8";Interlink Electronics
106260;"0015D9";PKC Electronics Oy
106261;"0015DA";IRITEL A.D.
106262;"0015DB";Canesta Inc.
106263;"0015DC";KT&C Co., Ltd.
106264;"0015DD";IP Control Systems Ltd.
106265;"0015DE";Nokia Danmark A/S
106266;"0015DF";Clivet S.p.A.
106267;"0015E0";Ericsson
106268;"0015E1";Picochip Ltd
106269;"0015E2";Dr.Ing. Herbert Knauer GmbH
106270;"0015E3";Dream Technologies Corporation
106271;"0015E4";Zimmer Elektromedizin
106272;"0015E5";Cheertek Inc.
106273;"0015E6";MOBILE TECHNIKA Inc.
106274;"0015E7";Quantec Tontechnik
106275;"0015E8";Nortel Networks
106276;"0015E9";D-Link Corporation
106277;"0015EA";Tellumat (Pty) Ltd
106278;"0015EB";zte corporation
106279;"0015EC";Boca Devices LLC
106280;"0015ED";Fulcrum Microsystems, Inc.
106281;"0015EE";Omnex Control Systems
106282;"0015EF";NEC TOKIN Corporation
106283;"0015F0";EGO BV
106284;"0015F1";KYLINK Communications Corp.
106285;"0015F2";ASUSTek COMPUTER INC.
106286;"0015F3";PELTOR AB
106287;"0015F4";Eventide
106288;"0015F5";Sustainable Energy Systems
106289;"0015F6";SCIENCE AND ENGINEERING SERVICES, INC.
106290;"0015F7";Wintecronics Ltd.
106291;"0015F8";Kingtronics Industrial Co. Ltd.
106292;"0015F9";Cisco Systems, Inc
106293;"0015FA";Cisco Systems, Inc
106294;"0015FB";setex schermuly textile computer gmbh
106295;"0015FC";Littelfuse Startco
106296;"0015FD";Complete Media Systems
106297;"0015FE";SCHILLING ROBOTICS LLC
106298;"0015FF";Novatel Wireless Solutions, Inc.
106299;"001600";CelleBrite Mobile Synchronization
106300;"001601";BUFFALO.INC
106301;"001602";CEYON TECHNOLOGY CO.,LTD.
106302;"001603";COOLKSKY Co., LTD
106303;"001604";Sigpro
106304;"001605";YORKVILLE SOUND INC.
106305;"001606";Ideal Industries
106306;"001607";Curves International Inc.
106307;"001608";Sequans Communications
106308;"001609";Unitech electronics co., ltd.
106309;"00160A";SWEEX Europe BV
106310;"00160B";TVWorks LLC
106311;"00160C";LPL  DEVELOPMENT S.A. DE C.V
106312;"00160D";Be Here Corporation
106313;"00160E";Optica Technologies Inc.
106314;"00160F";BADGER METER INC
106315;"001610";Carina Technology
106316;"001611";Altecon Srl
106317;"001612";Otsuka Electronics Co., Ltd.
106318;"001613";LibreStream Technologies Inc.
106319;"001614";Picosecond Pulse Labs
106320;"001615";Nittan Company, Limited
106321;"001616";BROWAN COMMUNICATION INC.
106322;"001617";MSI
106323;"001618";HIVION Co., Ltd.
106324;"001619";Lancelan Technologies S.L.
106325;"00161A";Dametric AB
106326;"00161B";Micronet Corporation
106327;"00161C";e:cue
106328;"00161D";Innovative Wireless Technologies, Inc.
106329;"00161E";Woojinnet
106330;"00161F";SUNWAVETEC Co., Ltd.
106331;"001620";Sony Mobile Communications Inc
106332;"001621";Colorado Vnet
106333;"001622";BBH SYSTEMS GMBH
106334;"001623";Interval Media
106335;"001624";Teneros, Inc.
106336;"001625";Impinj, Inc.
106337;"001626";ARRIS Group, Inc.
106338;"001627";embedded-logic DESIGN AND MORE GmbH
106339;"001628";Magicard Ltd
106340;"001629";Nivus GmbH
106341;"00162A";Antik computers & communications s.r.o.
106342;"00162B";Togami Electric Mfg.co.,Ltd.
106343;"00162C";Xanboo
106344;"00162D";STNet Co., Ltd.
106345;"00162E";Space Shuttle Hi-Tech Co., Ltd.
106346;"00162F";Geutebrück GmbH
106347;"001630";Vativ Technologies
106348;"001631";Xteam
106349;"001632";Samsung Electronics Co.,Ltd
106350;"001633";Oxford Diagnostics Ltd.
106351;"001634";Mathtech, Inc.
106352;"001635";Hewlett Packard
106353;"001636";Quanta Computer Inc.
106354;"001637";CITEL SpA
106355;"001638";TECOM Co., Ltd.
106356;"001639";Ubiquam Co., Ltd.
106357;"00163A";YVES TECHNOLOGY CO., LTD.
106358;"00163B";VertexRSI/General Dynamics
106359;"00163C";Rebox B.V.
106360;"00163D";Tsinghua Tongfang Legend Silicon Tech. Co., Ltd.
106361;"00163E";Xensource, Inc.
106362;"00163F";CReTE SYSTEMS Inc.
106363;"001640";Asmobile Communication Inc.
106364;"001641";Universal Global Scientific Industrial Co., Ltd.
106365;"001642";Pangolin
106366;"001643";Sunhillo Corporation
106367;"001644";LITE-ON Technology Corp.
106368;"001645";Power Distribution, Inc.
106369;"001646";Cisco Systems, Inc
106370;"001647";Cisco Systems, Inc
106371;"001648";SSD Company Limited
106372;"001649";SetOne GmbH
106373;"00164A";Vibration Technology Limited
106374;"00164B";Quorion Data Systems GmbH
106375;"00164C";PLANET INT Co., Ltd
106376;"00164D";Alcatel-Lucent IPD
106377;"00164E";Nokia Danmark A/S
106378;"00164F";World Ethnic Broadcastin Inc.
106379;"001650";Kratos EPD
106380;"001651";Exeo Systems
106381;"001652";Hoatech Technologies, Inc.
106382;"001653";LEGO System A/S IE Electronics Division
106383;"001654";Flex-P Industries Sdn. Bhd.
106384;"001655";FUHO TECHNOLOGY Co., LTD
106385;"001656";Nintendo Co., Ltd.
106386;"001657";Aegate Ltd
106387;"001658";Fusiontech Technologies Inc.
106388;"001659";Z.M.P. RADWAG
106389;"00165A";Harman Specialty Group
106390;"00165B";Grip Audio
106391;"00165C";Trackflow Ltd.
106392;"00165D";AirDefense, Inc.
106393;"00165E";Precision I/O
106394;"00165F";Fairmount Automation
106395;"001660";Nortel Networks
106396;"001661";Novatium Solutions (P) Ltd
106397;"001662";Liyuh Technology Ltd.
106398;"001663";KBT Mobile
106399;"001664";Prod-El SpA
106400;"001665";Cellon France
106401;"001666";Quantier Communication Inc.
106402;"001667";A-TEC Subsystem INC.
106403;"001668";Eishin Electronics
106404;"001669";MRV Communication (Networks) LTD
106405;"00166A";TPS
106406;"00166B";Samsung Electronics Co.,Ltd
106407;"00166C";Samsung Electronics Co.,Ltd
106408;"00166D";Yulong Computer Telecommunication Scientific (Shenzhen) Co.,Ltd
106409;"00166E";Arbitron Inc.
106410;"00166F";Intel Corporate
106411;"001670";SKNET Corporation
106412;"001671";Symphox Information Co.
106413;"001672";Zenway enterprise ltd
106414;"001673";Bury GmbH & Co. KG
106415;"001674";EuroCB (Phils.), Inc.
106416;"001675";ARRIS Group, Inc.
106417;"001676";Intel Corporate
106418;"001677";Bihl + Wiedemann GmbH
106419;"001678";SHENZHEN BAOAN GAOKE ELECTRONICS CO., LTD
106420;"001679";eOn Communications
106421;"00167A";Skyworth Overseas Development Ltd.
106422;"00167B";Haver&Boecker
106423;"00167C";iRex Technologies BV
106424;"00167D";Sky-Line Information Co., Ltd.
106425;"00167E";DIBOSS.CO.,LTD
106426;"00167F";Bluebird Soft Inc.
106427;"001680";Bally Gaming + Systems
106428;"001681";Vector Informatik GmbH
106429;"001682";Pro Dex, Inc
106430;"001683";WEBIO International Co.,.Ltd.
106431;"001684";Donjin Co.,Ltd.
106432;"001685";Elisa Oyj
106433;"001686";Karl Storz Imaging
106434;"001687";Chubb CSC-Vendor AP
106435;"001688";ServerEngines LLC
106436;"001689";Pilkor Electronics Co., Ltd
106437;"00168A";id-Confirm Inc
106438;"00168B";Paralan Corporation
106439;"00168C";DSL Partner AS
106440;"00168D";KORWIN CO., Ltd.
106441;"00168E";Vimicro corporation
106442;"00168F";GN Netcom A/S
106443;"001690";J-TEK INCORPORATION
106444;"001691";Moser-Baer AG
106445;"001692";Scientific-Atlanta, Inc.
106446;"001693";PowerLink Technology Inc.
106447;"001694";Sennheiser Communications A/S
106448;"001695";AVC Technology (International) Limited
106449;"001696";QDI Technology (H.K.) Limited
106450;"001697";NEC Corporation
106451;"001698";T&A Mobile Phones
106452;"001699";Tonic DVB Marketing Ltd
106453;"00169A";Quadrics Ltd
106454;"00169B";Alstom Transport
106455;"00169C";Cisco Systems, Inc
106456;"00169D";Cisco Systems, Inc
106457;"00169E";TV One Ltd
106458;"00169F";Vimtron Electronics Co., Ltd.
106459;"0016A0";Auto-Maskin
106460;"0016A1";"3Leaf Networks"
106461;"0016A2";CentraLite Systems, Inc.
106462;"0016A3";Ingeteam Transmission&Distribution, S.A.
106463;"0016A4";Ezurio Ltd
106464;"0016A5";Tandberg Storage ASA
106465;"0016A6";Dovado FZ-LLC
106466;"0016A7";AWETA G&P
106467;"0016A8";CWT CO., LTD.
106468;"0016A9";"2EI"
106469;"0016AA";Kei Communication Technology Inc.
106470;"0016AB";Dansensor A/S
106471;"0016AC";Toho Technology Corp.
106472;"0016AD";BT-Links Company Limited
106473;"0016AE";INVENTEL
106474;"0016AF";Shenzhen Union Networks Equipment Co.,Ltd.
106475;"0016B0";VK Corporation
106476;"0016B1";KBS
106477;"0016B2";DriveCam Inc
106478;"0016B3";Photonicbridges (China) Co., Ltd.
106479;"0016B4";Private
106480;"0016B5";ARRIS Group, Inc.
106481;"0016B6";Cisco-Linksys, LLC
106482;"0016B7";Seoul Commtech
106483;"0016B8";Sony Mobile Communications Inc
106484;"0016B9";ProCurve Networking by HP
106485;"0016BA";WEATHERNEWS INC.
106486;"0016BB";Law-Chain Computer Technology Co Ltd
106487;"0016BC";Nokia Danmark A/S
106488;"0016BD";ATI Industrial Automation
106489;"0016BE";INFRANET, Inc.
106490;"0016BF";PaloDEx Group Oy
106491;"0016C0";Semtech Corporation
106492;"0016C1";Eleksen Ltd
106493;"0016C2";Avtec Systems Inc
106494;"0016C3";BA Systems Inc
106495;"0016C4";SiRF Technology, Inc.
106496;"0016C5";Shenzhen Xing Feng Industry Co.,Ltd
106497;"0016C6";North Atlantic Industries
106498;"0016C7";Cisco Systems, Inc
106499;"0016C8";Cisco Systems, Inc
106500;"0016C9";NAT Seattle, Inc.
106501;"0016CA";Nortel Networks
106502;"0016CB";Apple, Inc.
106503;"0016CC";Xcute Mobile Corp.
106504;"0016CD";HIJI HIGH-TECH CO., LTD.
106505;"0016CE";Hon Hai Precision Ind. Co.,Ltd.
106506;"0016CF";Hon Hai Precision Ind. Co.,Ltd.
106507;"0016D0";ATech elektronika d.o.o.
106508;"0016D1";ZAT a.s.
106509;"0016D2";Caspian
106510;"0016D3";Wistron Corporation
106511;"0016D4";Compal Communications, Inc.
106512;"0016D5";Synccom Co., Ltd
106513;"0016D6";TDA Tech Pty Ltd
106514;"0016D7";Sunways AG
106515;"0016D8";Senea AB
106516;"0016D9";NINGBO BIRD CO.,LTD.
106517;"0016DA";Futronic Technology Co. Ltd.
106518;"0016DB";Samsung Electronics Co.,Ltd
106519;"0016DC";ARCHOS
106520;"0016DD";Gigabeam Corporation
106521;"0016DE";FAST Inc
106522;"0016DF";Lundinova AB
106523;"0016E0";"3Com Ltd"
106524;"0016E1";SiliconStor, Inc.
106525;"0016E2";American Fibertek, Inc.
106526;"0016E3";ASKEY COMPUTER CORP
106527;"0016E4";VANGUARD SECURITY ENGINEERING CORP.
106528;"0016E5";FORDLEY DEVELOPMENT LIMITED
106529;"0016E6";GIGA-BYTE TECHNOLOGY CO.,LTD.
106530;"0016E7";Dynamix Promotions Limited
106531;"0016E8";Sigma Designs, Inc.
106532;"0016E9";Tiba Medical Inc
106533;"0016EA";Intel Corporate
106534;"0016EB";Intel Corporate
